,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,AVG Speed,,,,,,,,,,,,,,,,
,category,day_type,total_trip,avg_trip_per_day,avg_distance_km,avg_duration_minutes,avg_speed_km,,,,,,,,,,
,Business,Weekday,796,3.79,25.2,22.64,71.29,,,,,,,,,,
,Business,Weekend,270,3.55,29.75,23.76,66.94,,,,,,,,,,
,Personal,Weekday,52,2.36,15.49,15.46,52.35,,,,,,,,,,
,Personal,Weekend,23,2.3,44.53,31.78,58.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,AVG Weekend,,,AVG Weekday,,,,,,,,,,,,,
,start_hour,count_trip_weekend,,start_hour,count_trip_weekday,,,,,,,,,,,,
,0.0,8,,0.0,11,,,,,,,,,,,,
,1.0,3,,1.0,2,,,,,,,,,,,,
,2.0,2,,3.0,2,,,,,,,,,,,,
,3.0,1,,5.0,2,,,,,,,,,,,,
,5.0,2,,6.0,3,,,,,,,,,,,,
,6.0,1,,7.0,9,,,,,,,,,,,,
,7.0,4,,8.0,31,,,,,,,,,,,,
,8.0,4,,9.0,34,,,,,,,,,,,,
,9.0,17,,10.0,51,,,,,,,,,,,,
,10.0,14,,11.0,60,,,,,,,,,,,,
,11.0,12,,12.0,59,,,,,,,,,,,,
,12.0,18,,13.0,81,,,,,,,,,,,,
,13.0,13,,14.0,63,,,,,,,,,,,,
,14.0,26,,15.0,71,,,,,,,,,,,,
,15.0,27,,16.0,69,,,,,,,,,,,,
,16.0,19,,17.0,68,,,,,,,,,,,,
,17.0,27,,18.0,65,,,,,,,,,,,,
,18.0,29,,19.0,47,,,,,,,,,,,,
,19.0,21,,20.0,56,,,,,,,,,,,,
,20.0,15,,21.0,33,,,,,,,,,,,,
,21.0,17,,22.0,22,,,,,,,,,,,,
,22.0,8,,23.0,9,,,,,,,,,,,,
,23.0,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,start_date,start_hour,start_minute,end_date,end_hour,end_minute,month,year,CATEGORY,START,STOP,MILES,PURPOSE,duration,speed,day,day_time
,2016-01-01,21.0,11.0,2016-01-01,21.0,17.0,Jan,2016,Business,Fort Pierce,Fort Pierce,82.076.339.999.999.900,Meal/Entertain,6.0,82.076.339.999.999.900,Friday,Evening
,2016-01-02,1.0,25.0,2016-01-02,1.0,37.0,Jan,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12.0,40.233.499.999.999.900,Saturday,Night
,2016-01-02,20.0,25.0,2016-01-02,20.0,38.0,Jan,2016,Business,Fort Pierce,Fort Pierce,77.248.319.999.999.900,Errand/Supplies,13.0,35.653.070.769.230.700,Saturday,Evening
,2016-01-05,17.0,31.0,2016-01-05,17.0,45.0,Jan,2016,Business,Fort Pierce,Fort Pierce,7.563.898,Meeting,14.0,32.416.705.714.285.700,Tuesday,Afternoon
,2016-01-06,14.0,42.0,2016-01-06,15.0,49.0,Jan,2016,Business,Fort Pierce,West Palm Beach,10.251.495.800.000.000,Customer Visit,67.0,9.180.444,Wednesday,Afternoon
,2016-01-06,17.0,15.0,2016-01-06,17.0,19.0,Jan,2016,Business,West Palm Beach,West Palm Beach,69.201.619.999.999.900,Meal/Entertain,4.0,10.380.242.999.999.900,Wednesday,Afternoon
,2016-01-06,17.0,30.0,2016-01-06,17.0,35.0,Jan,2016,Business,West Palm Beach,Palm Beach,11.426.314,Meeting,5.0,137.115.768,Wednesday,Afternoon
